publication_number,NUM_SEA_CITATIONS
AP-2906-A,11
AP-3334-A,2
AP-3636-A,1
AP-3923-A,3
AP-4021-A,4
AP-4082-A,5
AT-14206-U8,4
AT-503527-B1,2
AT-505874-B1,6
AT-509751-B1,2
AT-509847-B1,4
AT-510086-B1,5
AT-510185-B1,5
AT-510726-B1,6
AT-510790-B1,5
AT-510984-B1,6
AT-511097-B1,4
AT-511204-B1,3
AT-511229-B1,4
AT-511516-B1,11
AT-511923-B1,3
AT-512010-B1,2
AT-512062-B1,3
AT-512277-B1,2
AT-512629-B1,3
AT-513029-B1,3
AT-513253-B1,8
AT-513482-B1,4
AT-513617-B1,2
AT-514421-B1,5
AT-514700-B1,2
AT-515003-B1,4
AT-515021-B1,3
AT-515299-B1,2
AT-515495-B1,5
AT-515511-B8,3
AT-517268-B1,3
AT-517487-B1,4
AT-518677-B1,1
AT-519748-B1,10
AU-2003244856-B2,1
AU-2003292898-B2,3
AU-2003294022-B2,1
AU-2003298187-B2,1
AU-2004202042-B2,1
AU-2004203442-B2,9
AU-2004213749-B2,4
AU-2004222134-B2,4
AU-2004224972-B2,3
AU-2004228847-B2,6
AU-2004237783-B2,2
AU-2004238641-B2,6
AU-2004249362-B2,2
AU-2004252572-B2,1
AU-2004254461-B2,9
AU-2004265489-B2,2
AU-2004268530-B2,1
AU-2004270410-B2,9
AU-2004279195-B2,2
AU-2004284904-B2,2
AU-2004285834-B2,3
AU-2004288307-B2,5
AU-2004290090-B2,2
AU-2004305563-C1,6
AU-2004309050-B2,1
AU-2004311541-B2,9
AU-2004323141-B2,4
AU-2005200786-B2,5
AU-2005200977-B2,1
AU-2005203126-B2,2
AU-2005203576-B2,3
AU-2005203644-B2,1
AU-2005212393-B2,3
AU-2005214874-B2,3
AU-2005218986-B2,2
AU-2005231395-B2,4
AU-2005231918-B2,6
AU-2005232974-B2,5
AU-2005233086-B2,2
AU-2005238490-B2,1
AU-2005240226-B2,4
AU-2005240661-B2,2
AU-2005240907-B2,1
AU-2005243607-B2,6
AU-2005243638-B2,1
AU-2005245025-B2,8
AU-2005247652-B2,2
AU-2005248858-B8,4
AU-2005249385-B2,3
AU-2005249914-B2,1
AU-2005250494-B2,5
AU-2005251676-B2,8
AU-2005252194-B2,2
AU-2005253641-B2,8
AU-2005258569-B2,3
AU-2005266976-B2,3
AU-2005268712-B2,2
AU-2005289741-B2,3
AU-2005289756-B2,3
AU-2005290285-B2,3
