bike_number,TOTAL_DURATION_SEC
578,2240944
878,2121645
294,683202
397,2226490
360,2596441
339,1235568
548,2576331
450,1799167
532,1701141
345,1970461
417,2505247
385,2184562
625,2717745
442,2593858
607,2335627
506,2032221
331,2332799
463,2344559
570,2356650
33,2003196
314,1776576
571,1269977
635,2636380
608,2446960
589,2630898
325,2416076
511,2679612
291,2247408
488,2220168
478,2318879
540,2340824
260,2281626
408,2187827
547,2402922
518,2485918
470,2514895
480,2502616
356,2407399
496,2354650
492,2275422
315,2393216
581,2596019
525,2532627
579,2368576
574,2695376
324,1298399
553,2653743
312,2690839
541,2418179
441,2684129
538,2393237
469,2510977
357,1937051
491,2415589
335,2323460
438,967965
613,3083502
379,1753433
467,912341
238,1772492
366,2497452
551,2447385
487,2432449
228,586051
285,2211502
440,2443898
505,2468601
362,2414417
367,1090120
449,2626437
642,374386
629,2103787
621,2525952
436,2220633
600,2316387
376,2900579
393,2086444
320,2272892
373,2300332
573,2696513
311,2196600
542,3048107
484,2689709
471,2420075
475,1904360
290,2238901
377,2250538
332,2152524
593,2826838
588,266415
351,2371210
187,1016224
535,19349861
309,2599214
85,1214769
455,2230093
545,1105637
343,2071195
493,2379686
590,2272193
292,2331038
582,2166968
498,2041050
56,1746978
620,2192897
334,2543160
619,2361806
549,2178034
575,2432880
277,2337492
414,727795
457,2216883
563,2509778
527,2059246
326,2829069
416,2436390
709,1649667
477,2312052
306,1494687
349,1997333
284,2237473
370,2587810
439,2196515
618,2481786
274,2524947
29,1825806
423,2449803
313,2406342
401,2162171
636,2367752
592,2427208
388,2619264
289,2459881
513,2465588
510,2185456
462,2376660
501,2442974
111,1659013
399,2064241
465,2877736
546,2270699
577,1778810
318,2411092
584,2221950
279,2097880
433,731555
189,1871463
28,610511
716,487769
270,2199938
451,2391272
633,1653247
358,2081258
155,662699
23,555137
298,570897
147,902604
264,523701
241,587441
126,887617
694,594112
183,1046432
25,807348
254,408088
82,565100
68,637031
211,276110
712,412176
296,607457
683,698380
149,334693
704,560372
59,393426
664,195585
31,540516
144,450485
95,646698
251,1339452
674,329482
237,26386
515,1805825
372,2419031
502,2323003
472,2272309
236,1459093
566,2028936
412,2301254
562,2429433
497,2484957
405,2137174
652,1598387
534,2290903
415,2999013
350,2475922
390,2569892
430,868887
611,2364915
543,299622
614,2373542
481,1925143
403,1967932
273,1385036
394,2269245
364,2227242
624,2024692
494,2480477
265,1586215
521,2065973
432,2199878
406,2545901
651,1218222
634,2152950
514,2139694
530,2024732
560,1896709
213,324670
317,2439691
662,1292031
209,2077287
434,2150228
435,704449
67,1662727
673,221836
69,1758168
424,1393101
464,2256095
275,2482770
489,2299747
43,965595
152,482716
690,458667
550,375728
35,251180
303,468716
255,747463
705,609087
675,530707
297,517099
396,311249
27,530199
365,646111
47,268961
612,571766
667,588014
666,263044
19,693370
99,839879
206,746968
181,496017
145,405598
229,315662
700,603190
64,661818
696,591923
194,837693
215,467066
713,731977
51,508638
165,969684
685,1078736
89,607461
647,346270
304,575380
660,352241
26,236064
133,266526
131,543227
17,617153
656,537571
293,251652
