PICKUP_BOROUGH,TIP_CATEGORY,PROPORTION
Bronx,High,0.046218487394957986
Bronx,Low,0.07295645530939648
Bronx,Medium,0.07906799083269672
Bronx,No Tip,0.8017570664629489
Brooklyn,High,0.08196798382736654
Brooklyn,Low,0.16776756540748924
Brooklyn,Medium,0.2865000822735714
Brooklyn,No Tip,0.4637643684915728
Manhattan,High,0.0359106508634832
Manhattan,Low,0.3073981027558178
Manhattan,Medium,0.2478516499701834
Manhattan,No Tip,0.40883959641051554
Queens,High,0.47841510495231765
Queens,Low,0.0300539462582773
Queens,Medium,0.09870119908981669
Queens,No Tip,0.3928297496995884
