spc_latin,NUM_TREES_1995,NUM_ALIVE_1995,NUM_DEAD_1995,NUM_TREES_2015,NUM_ALIVE_2015,NUM_DEAD_2015,POPULATION_GROWTH
Pyrus calleryana,31295,0,359,58931,58931,0,27636
Zelkova serrata,5740,0,94,29258,29258,0,23518
Quercus palustris,36553,0,298,53185,53185,0,16632
Tilia americana,95,0,0,13530,13530,0,13435
Tilia tomentosa,57,0,0,7995,7995,0,7938
Ginkgo biloba,13758,0,248,21024,21024,0,7266
Prunus cerasifera,48,0,0,6879,6879,0,6831
Quercus bicolor,2,0,0,6598,6598,0,6596
Ulmus parvifolia,55,0,0,5345,5345,0,5290
Prunus virginiana,6,0,0,4888,4888,0,4882
