state_name,VULNERABLE_MANUFACTURING,VULNERABLE_WHOLESALE,TOTAL_VULNERABLE
California,689209.9999999999,199644.4,888854.3999999999
Pennsylvania,567029.18,180008.66000000003,747037.8400000001
Wisconsin,517165.80000000005,101857.86,619023.66
Indiana,505029.8,98104.22000000002,603134.02
Texas,433340.48,133342.76,566683.24
New Jersey,373989.69999999995,143311.30000000002,517301.0
New York,352729.56,129131.98,481861.54
Illinois,379426.30000000005,83872.84,463299.14
Ohio,324146.0,56605.55999999999,380751.56
Michigan,308740.25,39659.08,348399.33
North Carolina,244920.05999999997,51453.14,296373.19999999995
Florida,179351.22,92167.47999999998,271518.69999999995
Maryland,190258.86,62093.9,252352.75999999998
Georgia,190687.71999999997,47026.52,237714.23999999996
Washington,188219.93,47843.9,236063.83
Massachusetts,165246.81,38930.619999999995,204177.43
South Carolina,160694.58,33715.119999999995,194409.69999999998
Kentucky,159556.42,28915.719999999998,188472.14
Minnesota,153986.15999999997,31501.620000000003,185487.77999999997
Tennessee,150484.35,31711.0,182195.35
Missouri,144527.05,35671.36,180198.40999999997
Virginia,129143.85,35407.64,164551.49
Delaware,115747.91999999998,32400.320000000003,148148.24
New Hampshire,109005.06,26074.84,135079.9
Connecticut,99609.91,20942.18,120552.09
Alabama,100645.98,18324.36,118970.34
Oregon,93200.79000000002,22133.859999999997,115334.65000000002
Kansas,89803.52999999998,19673.36,109476.88999999998
Iowa,91605.88999999998,17503.179999999997,109109.06999999998
Arizona,81853.21999999999,24930.28,106783.49999999999
Arkansas,81812.63,18518.920000000002,100331.55
Colorado,72725.39,24966.760000000002,97692.15
West Virginia,67934.54,23257.520000000004,91192.06
Oklahoma,65871.01,16496.56,82367.56999999999
Mississippi,65975.56,15996.100000000002,81971.66
Louisiana,60962.07999999999,18984.8,79946.87999999999
Utah,58792.36,12666.92,71459.28
District of Columbia,38054.149999999994,15658.66,53712.81
Nebraska,43600.22,10005.779999999999,53606.0
Puerto Rico,39073.82,11216.84,50290.66
Rhode Island,36054.579999999994,8679.960000000001,44734.53999999999
Idaho,31933.259999999995,7402.400000000001,39335.659999999996
Nevada,21486.87,9830.6,31317.47
South Dakota,20783.719999999998,4645.88,25429.6
New Mexico,16580.399999999998,7156.160000000001,23736.559999999998
Maine,16953.5,4278.040000000001,21231.54
North Dakota,10223.349999999999,4651.58,14874.929999999998
Hawaii,8104.469999999999,5641.1,13745.57
Vermont,8928.16,1675.8000000000002,10603.96
Montana,6303.75,3173.38,9477.130000000001
Wyoming,3549.37,1911.02,5460.389999999999
Alaska,2171.7699999999995,2117.74,4289.509999999999
