country_or_region,CONFIRMED_CASES,POPULATION,CASES_PER_100K
China,2565,,
China,1,,
China,45,,
China,1019,,
China,1268,,
China,146,,
China,1276,,
China,189,,
China,197,,
China,1581,,
China,147,,
China,168,,
China,184,,
China,18,,
China,254,,
China,256,,
China,355,,
China,328,,
China,638,,
China,593,,
China,905,,
China,561,,
China,787,,
China,579,,
China,68128,,
China,1025,,
China,653,,
China,75,,
China,194,,
China,76,,
China,104,,
China,139,,
China,937,,
China,991,,
Germany,141672,,
Italy,181228,,
Spain,200210,,
France,6,,
France,163,,
France,18,,
France,148,,
France,56,,
France,37,,
France,271,,
France,97,,
France,408,,
France,1,,
France,0,,
France,153197,,
