facility_sub_region_2,NUM_VACCINE_SITES,total_pop,VACCINE_SITES_PER_1000
Butte County,25,227075.0,0.11009578333149841
Kings County,21,150075.0,0.13993003498250875
Shasta County,22,179085.0,0.12284669291118742
Los Angeles County,782,10098052.0,0.07744067865762624
Kern County,118,883053.0,0.13362731342286363
San Bernardino County,166,2135413.0,0.07773671884548797
Napa County,22,140530.0,0.15655020280367182
Imperial County,45,180216.0,0.24970035956851777
Humboldt County,20,135768.0,0.14731011725885335
Tuolumne County,10,53932.0,0.18541867536898315
