sid,iso_time,latitude,longitude,wmo_wind,CUMULATIVE_DISTANCE
2020256N11329,1599901200000000,11.1002,-31.9099,,0.5196518546103744
2020256N11329,1599912000000000,11.2,-32.4,30.0,1.0198098796384631
2020256N11329,1599922800000000,11.2999,-32.8575,,1.4880899881205583
2020256N11329,1599933600000000,11.4,-33.3,30.0,1.9417707789856733
2020256N11329,1599944400000000,11.4924,-33.7501,,2.401257198806766
2020256N11329,1599955200000000,11.6,-34.2,30.0,2.863845320141501
2020256N11329,1599966000000000,11.7424,-34.635,,3.3215600347837064
2020256N11329,1599976800000000,11.9,-35.1,30.0,3.812541460094281
2020256N11329,1599987600000000,12.0424,-35.6276,,4.359020663724208
2020256N11329,1599998400000000,12.2,-36.2,30.0,4.952720520554241
2020256N11329,1600009200000000,12.3999,-36.785,,5.570931657626352
2020256N11329,1600020000000000,12.6,-37.4,30.0,6.217665768370484
2020256N11329,1600030800000000,12.7796,-38.0125,,6.855954425640849
2020256N11329,1600041600000000,12.9,-38.7,35.0,7.553917469075099
2020256N11329,1600052400000000,12.9225,-39.5202,,8.374426024789175
2020256N11329,1600063200000000,12.9,-40.4,35.0,9.254513685195793
2020256N11329,1600074000000000,12.9,-41.28,,10.134513685195795
2020256N11329,1600084800000000,12.9,-42.1,35.0,10.954513685195796
2020256N11329,1600095600000000,12.8922,-42.795,,11.649557453601787
2020256N11329,1600106400000000,12.9,-43.4,40.0,12.25460773250429
2020256N11329,1600117200000000,12.9198,-43.9726,,12.827549963449087
2020256N11329,1600128000000000,13.0,-44.5,45.0,13.361012989346852
2020256N11329,1600138800000000,13.1773,-45.0,,13.891517739561213
2020256N11329,1600149600000000,13.4,-45.5,50.0,14.438870724389101
2020256N11329,1600160400000000,13.6001,-46.065,,15.038257919781193
2020256N11329,1600171200000000,13.8,-46.6,55.0,15.60938400918703
2020256N11329,1600182000000000,13.9924,-47.0376,,16.087412794931147
2020256N11329,1600192800000000,14.2,-47.4,55.0,16.50506279193821
2020256N11329,1600203600000000,14.4274,-47.7151,,16.893648393833086
2020256N11329,1600214400000000,14.7,-48.0,65.0,17.287956357232254
2020256N11329,1600225200000000,15.0349,-48.2926,,17.73267286243529
2020256N11329,1600236000000000,15.4,-48.6,80.0,18.209949270819365
2020256N11329,1600246800000000,15.7499,-48.9277,,18.689341907391935
2020256N11329,1600257600000000,16.1,-49.3,85.0,19.200396992485505
2020256N11329,1600268400000000,16.4575,-49.735,,19.763452273963267
2020256N11329,1600279200000000,16.8,-50.2,85.0,20.340973918579298
2020256N11329,1600290000000000,17.0999,-50.6503,,20.882000812550384
2020256N11329,1600300800000000,17.4,-51.1,85.0,21.422639416425465
2020256N11329,1600311600000000,17.7349,-51.5576,,21.98969829343913
2020256N11329,1600322400000000,18.1,-52.0,90.0,22.563297256129964
2020256N11329,1600333200000000,18.4923,-52.4002,,23.123707222136993
2020256N11329,1600344000000000,18.9,-52.8,100.0,23.694723272699495
2020256N11329,1600354800000000,19.3075,-53.2575,,24.30739161691193
2020256N11329,1600365600000000,19.7,-53.7,115.0,24.89888337509627
2020256N11329,1600376400000000,20.0573,-54.0653,,25.409870048112307
2020256N11329,1600387200000000,20.4,-54.4,120.0,25.888897583855293
2020256N11329,1600398000000000,20.7574,-54.7501,,26.38920226102712
2020256N11329,1600408800000000,21.1,-55.1,115.0,26.878900913261326
2020256N11329,1600419600000000,21.3924,-55.4503,,27.335198897039465
2020256N11329,1600430400000000,21.7,-55.8,110.0,27.800932565566875
2020256N11329,1600441200000000,22.0699,-56.1502,,28.310310666784428
2020256N11329,1600452000000000,22.5,-56.5,105.0,28.864698662686216
2020256N11329,1600462800000000,22.9924,-56.8501,,29.468873943544345
2020256N11329,1600473600000000,23.5,-57.2,105.0,30.08538653060158
2020256N11329,1600484400000000,23.9499,-57.5429,,30.651063487883736
2020256N11329,1600495200000000,24.4,-57.9,100.0,31.22561585277313
2020256N11329,1600506000000000,24.9073,-58.2777,,31.858079748975914
2020256N11329,1600516800000000,25.4,-58.7,100.0,32.5069946740624
