TRIP_MONTH,FIRST_DURATION_MINUTES,LAST_DURATION_MINUTES,MAX_DURATION_MINUTES,MIN_DURATION_MINUTES
1,2.900000,3.300000,11922.316667,1.000000
2,3.633333,9.566667,30876.500000,1.000000
3,23.200000,11.366667,18892.333333,1.000000
4,12.733333,7.616667,10746.183333,1.000000
5,18.633333,8.516667,10038.966667,1.000000
6,18.616667,26.100000,8630.933333,1.000000
7,8.333333,5.966667,4670.466667,1.000000
8,17.333333,3.683333,12037.266667,1.000000
9,2.966667,6.300000,9346.533333,1.000000
10,63.816667,5.750000,35616.666667,1.000000
11,20.216667,16.800000,287840.000000,1.000000
12,11.466667,4.333333,11941.333333,1.000000
