ADDRESS,BALANCE
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,691744524162047569178312.000000000
0xfa52274dd61e1643d2205169732f29114bc240b3,538798781349112513987321.000000000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,407369345224123120217446.000000000
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,315014295108249887049347.000000000
0x28c6c06298d514db089934071355e5743bf21d60,293983492370955405458659.000000000
0xeba3a0b28c2de73fc397a2552da4c95b76d50bbf,240993485195680768279200.000000000
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,193216267820515501156155.000000000
0x742d35cc6634c0532925a3b844bc454e4438f44e,192494472869999999878014.000000000
0xcec1b92d9ec15fbb337a615c586f10bc214515df,187494444128593976919626.000000000
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,165045057038528928412062.000000000
