language,FILE_COUNT
[],76092
"[
  {
    ""bytes"": 9052,
    ""name"": ""ASP""
  },
  {
    ""bytes"": 7801,
    ""name"": ""ActionScript""
  },
  {
    ""bytes"": 33389203,
    ""name"": ""Ada""
  },
  {
    ""bytes"": 3102,
    ""name"": ""AppleScript""
  },
  {
    ""bytes"": 32092930,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 107353,
    ""name"": ""Awk""
  },
  {
    ""bytes"": 858731579,
    ""name"": ""C""
  },
  {
    ""bytes"": 177097,
    ""name"": ""C#""
  },
  {
    ""bytes"": 57255163,
    ""name"": ""C++""
  },
  {
    ""bytes"": 6933,
    ""name"": ""CLIPS""
  },
  {
    ""bytes"": 44361,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 12657487,
    ""name"": ""D""
  },
  {
    ""bytes"": 473,
    ""name"": ""DOT""
  },
  {
    ""bytes"": 2922,
    ""name"": ""Eiffel""
  },
  {
    ""bytes"": 157,
    ""name"": ""Elixir""
  },
  {
    ""bytes"": 79637,
    ""name"": ""Emacs Lisp""
  },
  {
    ""bytes"": 215394,
    ""name"": ""Erlang""
  },
  {
    ""bytes"": 0,
    ""name"": ""F#""
  },
  {
    ""bytes"": 3463784,
    ""name"": ""FORTRAN""
  },
  {
    ""bytes"": 131,
    ""name"": ""Forth""
  },
  {
    ""bytes"": 338,
    ""name"": ""Groovy""
  },
  {
    ""bytes"": 2445,
    ""name"": ""Haskell""
  },
  {
    ""bytes"": 16979,
    ""name"": ""IDL""
  },
  {
    ""bytes"": 48212157,
    ""name"": ""Java""
  },
  {
    ""bytes"": 900126,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 18287,
    ""name"": ""Lua""
  },
  {
    ""bytes"": 7738,
    ""name"": ""M""
  },
  {
    ""bytes"": 20653,
    ""name"": ""Max""
  },
  {
    ""bytes"": 134456,
    ""name"": ""OCaml""
  },
  {
    ""bytes"": 3295242,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 69766,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 40318,
    ""name"": ""Pascal""
  },
  {
    ""bytes"": 11993394,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 1350,
    ""name"": ""Pike""
  },
  {
    ""bytes"": 1391,
    ""name"": ""Pure Data""
  },
  {
    ""bytes"": 5388177,
    ""name"": ""Python""
  },
  {
    ""bytes"": 142085,
    ""name"": ""R""
  },
  {
    ""bytes"": 186955,
    ""name"": ""Ruby""
  },
  {
    ""bytes"": 406891,
    ""name"": ""Scala""
  },
  {
    ""bytes"": 909,
    ""name"": ""Scheme""
  },
  {
    ""bytes"": 736694,
    ""name"": ""Scilab""
  },
  {
    ""bytes"": 29318209,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 23265,
    ""name"": ""Tcl""
  },
  {
    ""bytes"": 4848876,
    ""name"": ""TeX""
  },
  {
    ""bytes"": 11,
    ""name"": ""Turing""
  },
  {
    ""bytes"": 41644,
    ""name"": ""UnrealScript""
  },
  {
    ""bytes"": 8731,
    ""name"": ""VimL""
  },
  {
    ""bytes"": 32394,
    ""name"": ""XC""
  },
  {
    ""bytes"": 282987,
    ""name"": ""XSLT""
  }
]",1338
"[
  {
    ""bytes"": 27258,
    ""name"": ""JavaScript""
  }
]",1067
"[
  {
    ""bytes"": 4528,
    ""name"": ""ASP""
  },
  {
    ""bytes"": 35409895,
    ""name"": ""Ada""
  },
  {
    ""bytes"": 341,
    ""name"": ""Arc""
  },
  {
    ""bytes"": 21329962,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 162754,
    ""name"": ""Awk""
  },
  {
    ""bytes"": 610439592,
    ""name"": ""C""
  },
  {
    ""bytes"": 55726,
    ""name"": ""C#""
  },
  {
    ""bytes"": 60693551,
    ""name"": ""C++""
  },
  {
    ""bytes"": 12224,
    ""name"": ""CLIPS""
  },
  {
    ""bytes"": 46066,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 143,
    ""name"": ""D""
  },
  {
    ""bytes"": 6390,
    ""name"": ""Emacs Lisp""
  },
  {
    ""bytes"": 3940799,
    ""name"": ""FORTRAN""
  },
  {
    ""bytes"": 13089,
    ""name"": ""GAP""
  },
  {
    ""bytes"": 8223004,
    ""name"": ""Go""
  },
  {
    ""bytes"": 3088,
    ""name"": ""Haskell""
  },
  {
    ""bytes"": 48683293,
    ""name"": ""Java""
  },
  {
    ""bytes"": 18384,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 56,
    ""name"": ""Matlab""
  },
  {
    ""bytes"": 3812,
    ""name"": ""Max""
  },
  {
    ""bytes"": 147566,
    ""name"": ""OCaml""
  },
  {
    ""bytes"": 3473095,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 417839,
    ""name"": ""Objective-C++""
  },
  {
    ""bytes"": 12361,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 40318,
    ""name"": ""Pascal""
  },
  {
    ""bytes"": 1340597,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 424454,
    ""name"": ""Python""
  },
  {
    ""bytes"": 34836,
    ""name"": ""R""
  },
  {
    ""bytes"": 28625,
    ""name"": ""SQL""
  },
  {
    ""bytes"": 12840,
    ""name"": ""Scala""
  },
  {
    ""bytes"": 280444,
    ""name"": ""Scilab""
  },
  {
    ""bytes"": 3596604,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 17983,
    ""name"": ""Tcl""
  },
  {
    ""bytes"": 2281837,
    ""name"": ""TeX""
  },
  {
    ""bytes"": 6113,
    ""name"": ""UnrealScript""
  },
  {
    ""bytes"": 1469,
    ""name"": ""VimL""
  },
  {
    ""bytes"": 160356,
    ""name"": ""XSLT""
  }
]",1040
"[
  {
    ""bytes"": 1835,
    ""name"": ""ApacheConf""
  },
  {
    ""bytes"": 14584,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 35,
    ""name"": ""Batchfile""
  },
  {
    ""bytes"": 105608,
    ""name"": ""C""
  },
  {
    ""bytes"": 42652662,
    ""name"": ""C++""
  },
  {
    ""bytes"": 537806,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 163,
    ""name"": ""CoffeeScript""
  },
  {
    ""bytes"": 11578,
    ""name"": ""GLSL""
  },
  {
    ""bytes"": 28067,
    ""name"": ""Groff""
  },
  {
    ""bytes"": 56362733,
    ""name"": ""HTML""
  },
  {
    ""bytes"": 108885,
    ""name"": ""Java""
  },
  {
    ""bytes"": 26647564,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 47905,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 342893,
    ""name"": ""Objective-C++""
  },
  {
    ""bytes"": 171657,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 583379,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 3788510,
    ""name"": ""Python""
  },
  {
    ""bytes"": 141818,
    ""name"": ""Ruby""
  },
  {
    ""bytes"": 8888,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 49926,
    ""name"": ""XSLT""
  },
  {
    ""bytes"": 64744,
    ""name"": ""Yacc""
  }
]",999
"[
  {
    ""bytes"": 169195,
    ""name"": ""Ada""
  },
  {
    ""bytes"": 7174020,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 198574,
    ""name"": ""Awk""
  },
  {
    ""bytes"": 352309703,
    ""name"": ""C""
  },
  {
    ""bytes"": 55726,
    ""name"": ""C#""
  },
  {
    ""bytes"": 31605721,
    ""name"": ""C++""
  },
  {
    ""bytes"": 6933,
    ""name"": ""CLIPS""
  },
  {
    ""bytes"": 75571,
    ""name"": ""Component Pascal""
  },
  {
    ""bytes"": 19114,
    ""name"": ""D""
  },
  {
    ""bytes"": 15036,
    ""name"": ""Elixir""
  },
  {
    ""bytes"": 421322,
    ""name"": ""Emacs Lisp""
  },
  {
    ""bytes"": 7120,
    ""name"": ""Fortran""
  },
  {
    ""bytes"": 22916,
    ""name"": ""Gosu""
  },
  {
    ""bytes"": 45430861,
    ""name"": ""Java""
  },
  {
    ""bytes"": 711371,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 9443979,
    ""name"": ""Logos""
  },
  {
    ""bytes"": 2103,
    ""name"": ""Lua""
  },
  {
    ""bytes"": 2443,
    ""name"": ""M""
  },
  {
    ""bytes"": 673851,
    ""name"": ""Nemerle""
  },
  {
    ""bytes"": 1778561,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 12192,
    ""name"": ""OpenEdge ABL""
  },
  {
    ""bytes"": 61880,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 20493786,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 19763,
    ""name"": ""Prolog""
  },
  {
    ""bytes"": 216756,
    ""name"": ""Python""
  },
  {
    ""bytes"": 45887,
    ""name"": ""R""
  },
  {
    ""bytes"": 1397,
    ""name"": ""Racket""
  },
  {
    ""bytes"": 24428,
    ""name"": ""Ruby""
  },
  {
    ""bytes"": 1892,
    ""name"": ""Scala""
  },
  {
    ""bytes"": 8294,
    ""name"": ""Scilab""
  },
  {
    ""bytes"": 1176,
    ""name"": ""Self""
  },
  {
    ""bytes"": 20577619,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 10530,
    ""name"": ""Smalltalk""
  },
  {
    ""bytes"": 152,
    ""name"": ""Standard ML""
  },
  {
    ""bytes"": 1369661,
    ""name"": ""Tcl""
  },
  {
    ""bytes"": 57329,
    ""name"": ""Visual Basic""
  },
  {
    ""bytes"": 71354,
    ""name"": ""XSLT""
  }
]",745
"[
  {
    ""bytes"": 47594,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 16649,
    ""name"": ""Python""
  }
]",737
"[
  {
    ""bytes"": 49516179,
    ""name"": ""Ada""
  },
  {
    ""bytes"": 2590845,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 118638,
    ""name"": ""Awk""
  },
  {
    ""bytes"": 178,
    ""name"": ""Batchfile""
  },
  {
    ""bytes"": 251,
    ""name"": ""Brainfuck""
  },
  {
    ""bytes"": 124389374,
    ""name"": ""C""
  },
  {
    ""bytes"": 55626,
    ""name"": ""C#""
  },
  {
    ""bytes"": 54428484,
    ""name"": ""C++""
  },
  {
    ""bytes"": 5291,
    ""name"": ""CLIPS""
  },
  {
    ""bytes"": 8098,
    ""name"": ""CMake""
  },
  {
    ""bytes"": 32588,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 28465,
    ""name"": ""DIGITAL Command Language""
  },
  {
    ""bytes"": 965,
    ""name"": ""Emacs Lisp""
  },
  {
    ""bytes"": 6119129,
    ""name"": ""FORTRAN""
  },
  {
    ""bytes"": 13089,
    ""name"": ""GAP""
  },
  {
    ""bytes"": 16351932,
    ""name"": ""Go""
  },
  {
    ""bytes"": 95815,
    ""name"": ""Groff""
  },
  {
    ""bytes"": 9700803,
    ""name"": ""HTML""
  },
  {
    ""bytes"": 3174,
    ""name"": ""Haskell""
  },
  {
    ""bytes"": 45240903,
    ""name"": ""Java""
  },
  {
    ""bytes"": 6158,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 5027,
    ""name"": ""Lex""
  },
  {
    ""bytes"": 424795,
    ""name"": ""Logos""
  },
  {
    ""bytes"": 1842291,
    ""name"": ""M4""
  },
  {
    ""bytes"": 6624833,
    ""name"": ""Makefile""
  },
  {
    ""bytes"": 56,
    ""name"": ""Matlab""
  },
  {
    ""bytes"": 1545,
    ""name"": ""Module Management System""
  },
  {
    ""bytes"": 118890,
    ""name"": ""OCaml""
  },
  {
    ""bytes"": 957150,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 441976,
    ""name"": ""Objective-C++""
  },
  {
    ""bytes"": 107613,
    ""name"": ""PAWN""
  },
  {
    ""bytes"": 17447,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 4348,
    ""name"": ""POV-Ray SDL""
  },
  {
    ""bytes"": 71222,
    ""name"": ""Pascal""
  },
  {
    ""bytes"": 177889,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 101229,
    ""name"": ""Pure Data""
  },
  {
    ""bytes"": 328731,
    ""name"": ""Python""
  },
  {
    ""bytes"": 1847,
    ""name"": ""SAS""
  },
  {
    ""bytes"": 459509,
    ""name"": ""Scheme""
  },
  {
    ""bytes"": 258457,
    ""name"": ""Scilab""
  },
  {
    ""bytes"": 1879077,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 3817,
    ""name"": ""Smarty""
  },
  {
    ""bytes"": 78537,
    ""name"": ""SourcePawn""
  },
  {
    ""bytes"": 9680,
    ""name"": ""Standard ML""
  },
  {
    ""bytes"": 17983,
    ""name"": ""Tcl""
  },
  {
    ""bytes"": 636357,
    ""name"": ""TeX""
  },
  {
    ""bytes"": 6926,
    ""name"": ""VimL""
  },
  {
    ""bytes"": 156419,
    ""name"": ""XSLT""
  },
  {
    ""bytes"": 26336,
    ""name"": ""Yacc""
  }
]",689
"[
  {
    ""bytes"": 8257,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 6812,
    ""name"": ""HTML""
  },
  {
    ""bytes"": 1832,
    ""name"": ""Handlebars""
  },
  {
    ""bytes"": 10140,
    ""name"": ""JavaScript""
  }
]",687
"[
  {
    ""bytes"": 16476,
    ""name"": ""ApacheConf""
  },
  {
    ""bytes"": 6827,
    ""name"": ""AppleScript""
  },
  {
    ""bytes"": 455330,
    ""name"": ""Assembly""
  },
  {
    ""bytes"": 39159,
    ""name"": ""Awk""
  },
  {
    ""bytes"": 46838,
    ""name"": ""Batchfile""
  },
  {
    ""bytes"": 364,
    ""name"": ""BlitzBasic""
  },
  {
    ""bytes"": 31127977,
    ""name"": ""C""
  },
  {
    ""bytes"": 48119536,
    ""name"": ""C++""
  },
  {
    ""bytes"": 640028,
    ""name"": ""CSS""
  },
  {
    ""bytes"": 637,
    ""name"": ""D""
  },
  {
    ""bytes"": 2192,
    ""name"": ""DIGITAL Command Language""
  },
  {
    ""bytes"": 44427,
    ""name"": ""Emacs Lisp""
  },
  {
    ""bytes"": 249762,
    ""name"": ""Erlang""
  },
  {
    ""bytes"": 29013,
    ""name"": ""GAP""
  },
  {
    ""bytes"": 3990500,
    ""name"": ""Groff""
  },
  {
    ""bytes"": 26435,
    ""name"": ""Groovy""
  },
  {
    ""bytes"": 23823968,
    ""name"": ""HTML""
  },
  {
    ""bytes"": 25305,
    ""name"": ""IDL""
  },
  {
    ""bytes"": 144427,
    ""name"": ""Java""
  },
  {
    ""bytes"": 9485487,
    ""name"": ""JavaScript""
  },
  {
    ""bytes"": 7857,
    ""name"": ""Logos""
  },
  {
    ""bytes"": 257434,
    ""name"": ""Lua""
  },
  {
    ""bytes"": 145761,
    ""name"": ""Makefile""
  },
  {
    ""bytes"": 2223,
    ""name"": ""Mask""
  },
  {
    ""bytes"": 34628,
    ""name"": ""Mathematica""
  },
  {
    ""bytes"": 40424,
    ""name"": ""NewLisp""
  },
  {
    ""bytes"": 344922,
    ""name"": ""Objective-C""
  },
  {
    ""bytes"": 6659927,
    ""name"": ""PHP""
  },
  {
    ""bytes"": 724941,
    ""name"": ""PLSQL""
  },
  {
    ""bytes"": 93220,
    ""name"": ""PLpgSQL""
  },
  {
    ""bytes"": 134494,
    ""name"": ""Pascal""
  },
  {
    ""bytes"": 52432296,
    ""name"": ""Perl""
  },
  {
    ""bytes"": 2679153,
    ""name"": ""Perl6""
  },
  {
    ""bytes"": 1146329,
    ""name"": ""PostScript""
  },
  {
    ""bytes"": 2873540,
    ""name"": ""Prolog""
  },
  {
    ""bytes"": 18875893,
    ""name"": ""Python""
  },
  {
    ""bytes"": 6804,
    ""name"": ""QMake""
  },
  {
    ""bytes"": 136490,
    ""name"": ""R""
  },
  {
    ""bytes"": 60984,
    ""name"": ""Ragel in Ruby Host""
  },
  {
    ""bytes"": 18164018,
    ""name"": ""Ruby""
  },
  {
    ""bytes"": 1161578,
    ""name"": ""Scheme""
  },
  {
    ""bytes"": 3706564,
    ""name"": ""Shell""
  },
  {
    ""bytes"": 3019,
    ""name"": ""Slash""
  },
  {
    ""bytes"": 50471,
    ""name"": ""Smalltalk""
  },
  {
    ""bytes"": 65393,
    ""name"": ""SystemVerilog""
  },
  {
    ""bytes"": 1448039,
    ""name"": ""Tcl""
  },
  {
    ""bytes"": 30952567,
    ""name"": ""TeX""
  },
  {
    ""bytes"": 165992,
    ""name"": ""Turing""
  },
  {
    ""bytes"": 8395170,
    ""name"": ""VimL""
  },
  {
    ""bytes"": 4992,
    ""name"": ""Visual Basic""
  }
]",666
