MONTH,SUM(TOTAL_COST),SUM(TOTAL_PROFIT)
2019-01-01,76.69125045882538,114.55874954117462
2019-02-01,187.00000056996944,237.99999943003056
2019-03-01,419.89500154741114,483.10499845258886
2019-04-01,171.11999960243702,196.88000039756298
2019-05-01,125.69580527790504,174.29418495646996
2019-06-01,369.3270016685128,533.6729983314872
2019-07-01,180.90000115334988,269.0999988466501
2019-08-01,164.379454397279,235.5705578097523
2019-09-01,409.0590014532208,493.9409985467792
2019-10-01,403.64100224711,499.35899775289
2019-11-01,149.18135367714387,250.76865852988743
2019-12-01,419.89500154741114,483.10499845258886
2020-01-01,248.12499992549417,376.8750000745058
2020-02-01,420.7979983314872,482.2020016685128
2020-03-01,306.74590459771844,443.24408563665656
2020-04-01,381.90000243484974,568.0999975651503
2020-05-01,335.0360010885633,422.9639989114367
2020-06-01,378.356999784708,524.643000215292
2020-07-01,367.0799992270768,430.9200007729232
2020-08-01,330.0000010058284,419.9999989941716
2020-09-01,378.1600012630224,436.8399987369776
2020-10-01,454.2090000235476,448.7909999764524
2020-11-01,369.3270016685128,533.6729983314872
2020-12-01,512.0009998250753,390.99900017492473
2021-01-01,378.1600012630224,436.8399987369776
2021-02-01,454.2090000235476,448.7909999764524
2021-03-01,370.23000181652606,532.769998183474
2021-04-01,369.3270016685128,533.6729983314872
2021-05-01,818.1180029064416,987.8819970935584
2021-06-01,293.7846104233504,536.1154139907122
2021-07-01,404.5950011909008,594.4049988090992
2021-08-01,391.90200200490654,511.09799799509346
2021-09-01,395.90999973937863,399.09000026062137
2021-10-01,249.96399864554405,348.03600135445595
2021-11-01,363.0060023143888,539.9939976856112
2021-12-01,403.64100224711,499.35899775289
2022-01-01,209.89799987524748,388.1020001247525
2022-02-01,370.23000181652606,532.769998183474
2022-03-01,363.0060023143888,539.9939976856112
2022-04-01,783.8040040098131,1022.1959959901869
2022-05-01,364.6499990718439,460.3500009281561
2022-06-01,763.8000048696995,1136.1999951303005
2022-07-01,932.7989981565624,873.2010018434376
2022-08-01,887.6490025296807,918.3509974703193
2022-09-01,381.90000243484974,568.0999975651503
2022-10-01,478.17000277340406,511.82999722659594
2022-11-01,763.8000048696995,1136.1999951303005
2022-12-01,395.90999973937863,399.09000026062137
2023-01-01,492.8444977607577,780.6555022392422
2023-02-01,404.5950011909008,594.4049988090992
2023-03-01,404.5950011909008,594.4049988090992
2023-04-01,395.90999973937863,399.09000026062137
2023-05-01,887.6490025296807,918.3509974703193
2023-06-01,874.1040019914507,931.8959980085493
2023-07-01,1049.286000430584,756.713999569416
2023-08-01,854.8500003106892,1230.1499996893108
2023-09-01,735.0420027449728,1070.9579972550273
2023-10-01,915.6420020721853,890.3579979278147
2023-11-01,965.0339981541039,1032.9660018458962
2023-12-01,740.4600036330521,1065.539996366948
