MONTH,TOTAL_SALES,COMPLETED_ORDER_COUNT,TOTAL_COST,PROFIT,PROFIT_MARGIN
2023-01-01,2971.560030937195,49,89342.72848443183,-86371.16845349464,-29.065934241366882
2023-02-01,2904.7800149917603,58,91404.1121518783,-88499.33213688654,-30.466793244285515
2023-03-01,2350.2300033569336,47,93930.8039978215,-91580.57399446456,-38.96664320668876
2023-04-01,2262.3099937438965,42,90240.3110955056,-87978.0011017617,-38.88857024238616
2023-05-01,2949.620018005371,49,106174.29215609112,-103224.67213808575,-34.99592201977583
2023-06-01,1906.6799936294556,47,104253.50417589935,-102346.82418226989,-53.678029099916166
2023-07-01,3037.8199911117554,65,108194.23718501192,-105156.41719390017,-34.615749946202676
2023-08-01,3110.720012664795,71,117204.68953996437,-114093.96952729957,-36.67767239185281
2023-09-01,3760.4900114536285,57,114922.54618179027,-111162.05617033664,-29.560524248638178
2023-10-01,2693.8400115966797,53,127318.44480425987,-124624.60479266319,-46.26280857666684
2023-11-01,3360.7399940490723,70,135537.25309230058,-132176.5130982515,-39.32958614242668
2023-12-01,3819.6600074768066,80,148982.3607603195,-145162.7007528427,-38.004089491916424
