period,game_clock,team_name,event_description,HOME_SCORE,AWAY_SCORE
1,9:50,Fighting Irish,Zach Auguste makes two point layup (Steve Vasturia assists),,2.0
1,9:34,Wildcats,Karl-Anthony Towns makes free throw 1 of 1,1.0,
1,9:34,Wildcats,Karl-Anthony Towns makes two point layup,3.0,
1,8:27,Wildcats,Karl-Anthony Towns makes two point jump shot,5.0,
1,7:05,Fighting Irish,Zach Auguste makes two point dunk,,4.0
1,6:33,Wildcats,Karl-Anthony Towns makes free throw 1 of 2,6.0,
1,6:33,Wildcats,Karl-Anthony Towns makes free throw 2 of 2,7.0,
1,5:05,Fighting Irish,Jerian Grant makes two point layup,,6.0
1,5:05,Fighting Irish,Jerian Grant makes free throw 1 of 1,,7.0
1,4:27,Fighting Irish,Jerian Grant makes two point jump shot,,9.0
1,3:10,Wildcats,Aaron Harrison makes free throw 1 of 2,8.0,
1,2:42,Fighting Irish,Bonzie Colson makes two point layup (Steve Vasturia assists),,11.0
1,2:22,Wildcats,Trey Lyles makes free throw 1 of 1,9.0,
1,2:22,Wildcats,Trey Lyles makes two point layup,11.0,
1,1:53,Wildcats,Andrew Harrison makes free throw 2 of 2,12.0,
1,1:53,Wildcats,Andrew Harrison makes free throw 1 of 2,13.0,
1,1:34,Fighting Irish,Jerian Grant makes free throw 1 of 2,,12.0
1,1:34,Fighting Irish,Jerian Grant makes free throw 2 of 2,,13.0
1,19:50,Wildcats,Trey Lyles makes two point dunk (Karl-Anthony Towns assists),15.0,
1,17:42,Fighting Irish,Pat Connaughton makes two point layup (Jerian Grant assists),,15.0
1,16:35,Fighting Irish,Zach Auguste makes two point layup,,17.0
1,16:23,Wildcats,Karl-Anthony Towns makes free throw 2 of 2,16.0,
1,15:42,Fighting Irish,Steve Vasturia makes two point layup (Pat Connaughton assists),,19.0
1,15:20,Wildcats,Devin Booker makes three point jump shot (Tyler Ulis assists),19.0,
1,15:00,Fighting Irish,Zach Auguste makes two point layup (Jerian Grant assists),,21.0
1,14:26,Wildcats,Marcus Lee makes two point dunk,21.0,
1,13:33,Wildcats,Willie Cauley-Stein makes two point layup,23.0,
1,12:52,Fighting Irish,Pat Connaughton makes three point jump shot (Jerian Grant assists),,24.0
1,12:13,Wildcats,Devin Booker makes two point layup (Karl-Anthony Towns assists),25.0,
1,11:45,Fighting Irish,Jerian Grant makes two point jump shot (V.J. Beachem assists),,26.0
1,11:35,Wildcats,Andrew Harrison makes free throw 2 of 2,26.0,
1,11:35,Wildcats,Andrew Harrison makes free throw 1 of 2,27.0,
1,11:08,Fighting Irish,Steve Vasturia makes two point layup (Demetrius Jackson assists),,28.0
1,00:46,Wildcats,Willie Cauley-Stein makes two point dunk (Andrew Harrison assists),29.0,
1,00:25,Fighting Irish,Bonzie Colson makes two point layup,,30.0
1,00:25,Fighting Irish,Bonzie Colson makes free throw 1 of 1,,31.0
1,00:01,Wildcats,Trey Lyles makes two point layup,31.0,
2,9:48,Wildcats,Trey Lyles makes two point layup,33.0,
2,8:43,Wildcats,Andrew Harrison makes free throw 2 of 2,34.0,
2,8:22,Fighting Irish,Demetrius Jackson makes two point layup,,33.0
2,8:08,Wildcats,Karl-Anthony Towns makes two point jump shot,36.0,
2,7:39,Fighting Irish,Steve Vasturia makes two point layup,,35.0
2,7:22,Wildcats,Karl-Anthony Towns makes two point jump shot,38.0,
2,6:54,Fighting Irish,Zach Auguste makes two point layup,,37.0
2,6:14,Fighting Irish,Steve Vasturia makes three point jump shot (Jerian Grant assists),,40.0
2,5:54,Wildcats,Tyler Ulis makes three point jump shot (Karl-Anthony Towns assists),41.0,
2,5:22,Fighting Irish,Zach Auguste makes two point layup (Demetrius Jackson assists),,42.0
2,5:05,Wildcats,Aaron Harrison makes two point dunk,43.0,
2,4:28,Fighting Irish,Jerian Grant makes free throw 1 of 2,,43.0
2,4:08,Wildcats,Karl-Anthony Towns makes two point jump shot,45.0,
2,4:08,Wildcats,Karl-Anthony Towns makes free throw 1 of 1,46.0,
2,3:45,Fighting Irish,Pat Connaughton makes free throw 1 of 2,,44.0
2,3:15,Wildcats,Aaron Harrison makes three point jump shot (Tyler Ulis assists),49.0,
2,2:34,Fighting Irish,Jerian Grant makes three point jump shot (Pat Connaughton assists),,47.0
2,1:12,Wildcats,Karl-Anthony Towns makes two point jump shot,51.0,
2,19:38,Wildcats,Karl-Anthony Towns makes two point jump shot,53.0,
2,19:12,Fighting Irish,Zach Auguste makes two point dunk (Jerian Grant assists),,49.0
2,18:50,Wildcats,Devin Booker makes three point jump shot (Karl-Anthony Towns assists),56.0,
2,18:07,Wildcats,Karl-Anthony Towns makes two point jump shot,58.0,
2,17:38,Fighting Irish,Jerian Grant makes free throw 2 of 2,,50.0
2,17:38,Fighting Irish,Jerian Grant makes free throw 1 of 2,,51.0
2,16:47,Fighting Irish,Zach Auguste makes two point layup (Demetrius Jackson assists),,53.0
2,16:17,Wildcats,Karl-Anthony Towns makes two point jump shot,60.0,
2,16:01,Fighting Irish,Steve Vasturia makes two point layup (Pat Connaughton assists),,55.0
2,15:30,Fighting Irish,Zach Auguste makes two point dunk,,57.0
2,15:05,Wildcats,Devin Booker makes two point jump shot,62.0,
2,14:55,Fighting Irish,Steve Vasturia makes three point jump shot (Jerian Grant assists),,60.0
2,14:25,Fighting Irish,Pat Connaughton makes two point dunk,,62.0
2,12:54,Wildcats,Karl-Anthony Towns makes two point jump shot,64.0,
2,12:22,Fighting Irish,Zach Auguste makes two point layup (Demetrius Jackson assists),,64.0
2,10:24,Wildcats,Willie Cauley-Stein makes two point dunk (Andrew Harrison assists),66.0,
2,10:06,Fighting Irish,Steve Vasturia makes free throw 1 of 2,,65.0
2,10:06,Fighting Irish,Steve Vasturia makes free throw 2 of 2,,66.0
