id,name,latitude,longitude
US1ILCK0004,BARTLETT 1.9 NNW,42.0037,-88.2206
US1ILCK0005,HARWOOD HEIGHTS 1.0 ENE,41.9704,-87.7879
US1ILCK0010,CHICAGO 3.0 N,41.8798,-87.6823
US1ILCK0011,OAK LAWN 1.6 NW,41.7287,-87.7763
US1ILCK0012,BRIDGEVIEW 1.3 NNW,41.755,-87.8173
US1ILCK0014,CHICAGO 5.5 ESE,41.8008,-87.5903
US1ILCK0018,SKOKIE 1.0 NNE,42.0503,-87.7298
US1ILCK0023,LA GRANGE 0.5 NNE,41.8149,-87.8696
US1ILCK0027,STREAMWOOD 1.1 NNE,42.0355,-88.1651
US1ILCK0032,CHICAGO 6.4 NNE,41.9266,-87.6562
US1ILCK0036,CHICAGO 4.7 NE,41.886,-87.621
US1ILCK0041,HOFFMAN ESTATES 2.1 SE,42.0455,-88.1072
US1ILCK0042,MOUNT PROSPECT 3.0 NE,42.0962,-87.8967
US1ILCK0045,GLENVIEW 1.6 WNW,42.092,-87.8416
US1ILCK0046,DES PLAINES 0.5 NW,42.0398,-87.9083
US1ILCK0049,LA GRANGE PARK 0.9 NE,41.8407,-87.8596
US1ILCK0050,PALOS PARK 1.3 SW,41.6528,-87.8631
US1ILCK0051,ORLAND HILLS 0.6 S,41.5833,-87.8434
US1ILCK0053,GLENCOE 0.1 NW,42.1357,-87.7654
US1ILCK0054,PALATINE 2.7 NNE,42.1468,-88.0197
US1ILCK0055,CHICAGO 6.0 NNE,41.917,-87.6386
US1ILCK0058,STREAMWOOD 1.1 SW,42.01,-88.19
US1ILCK0061,OAK PARK 1.0 SW,41.8756,-87.8011
US1ILCK0062,STICKNEY 1.2 W,41.8212,-87.7959
US1ILCK0063,ELK GROVE VILLAGE 0.6 ESE,42.0039,-87.9813
US1ILCK0064,HOMEWOOD 0.1 ESE,41.5577,-87.6594
US1ILCK0066,OAK PARK 0.6 NE,41.8934,-87.7798
US1ILCK0068,TINLEY PARK 1.2 WNW,41.5834,-87.8196
US1ILCK0069,PARK FOREST 0.8 NNE,41.4928,-87.6815
US1ILCK0070,HARWOOD HEIGHTS 2.6 SE,41.9393,-87.77
US1ILCK0072,CICERO 0.4 W,41.8449,-87.7673
US1ILCK0074,OAK PARK 1.3 NNE,41.9062,-87.7819
US1ILCK0075,ELK GROVE VILLAGE 2.2 WSW,41.9953,-88.0527
US1ILCK0076,FLOSSMOOR 1.1 ESE,41.5345,-87.6646
US1ILCK0079,TINLEY PARK 1.0 SW,41.5641,-87.8139
US1ILCK0081,ARLINGTON HEIGHTS 1.8 NNW,42.1192,-87.9951
US1ILCK0082,BURNHAM-HEGEWISCH 1.6 NNW,41.6598,-87.5529
US1ILCK0083,STREAMWOOD 0.2 SW,42.0188,-88.1755
US1ILCK0084,BARTLETT 1.2 NE,41.9916,-88.1887
US1ILCK0087,ARLINGTON HEIGHTS 1.3 SW,42.0822,-88.0019
US1ILCK0088,COUNTRYSIDE 0.8 ENE,41.7823,-87.8622
US1ILCK0091,EVANSTON 1.2 SSE,42.0306,-87.6857
US1ILCK0094,LINCOLNWOOD 1.8 E,42.0019,-87.6985
US1ILCK0095,COUNTRYSIDE 1.3 NNE,41.7937,-87.8649
US1ILCK0097,CHICAGO 6.8 NNE,41.9301,-87.6393
US1ILCK0098,LA GRANGE PARK 0.7 SSW,41.8226,-87.8758
US1ILCK0100,CICERO 1.5 SSW,41.8231,-87.7666
US1ILCK0102,ELMWOOD PARK 4.3 E,41.9331,-87.7334
US1ILCK0104,LINCOLNWOOD 5.1 SE,41.9494,-87.6703
US1ILCK0107,EVANSTON 1.4 N,42.0669,-87.6898
US1ILCK0108,BEVERLY 0.3 N,41.7165,-87.671
US1ILCK0116,BLUE ISLAND 1.1 NNW,41.673,-87.6887
US1ILCK0117,CHICAGO 3.0 NW,41.9125,-87.6695
US1ILCK0121,PALATINE 1.3 E,42.1139,-88.0178
US1ILCK0122,CHICAGO 6.5 NNE,41.9272,-87.6517
US1ILCK0129,SCHAUMBURG 2.7 WSW,42.0135,-88.1289
US1ILCK0131,SCHAUMBURG 2.0 E,42.0303,-88.044
US1ILCK0132,PALOS PARK 1.7 WSW,41.6585,-87.8759
US1ILCK0137,MELROSE PARK 2.0 NW,41.92,-87.8855
US1ILCK0139,OAK LAWN 1.1 N,41.7304,-87.7561
US1ILCK0143,INVERNESS 1.7 S,42.0904,-88.0949
US1ILCK0145,OAK PARK 1.5 S,41.8659,-87.7928
US1ILCK0146,GLENWOOD 1.5 ESE,41.5405,-87.5886
US1ILCK0148,OAK LAWN 1.9 SE,41.6936,-87.729
US1ILCK0149,OAK LAWN 0.5 SSW,41.7084,-87.7539
US1ILCK0150,ARLINGTON HEIGHTS 1.2 S,42.078,-87.9838
US1ILCK0151,EVERGREEN PARK 0.5 NE,41.7274,-87.6949
US1ILCK0152,CHICAGO RIDGE 0.2 WSW,41.7018,-87.782
US1ILCK0153,ALSIP 0.2 E,41.6703,-87.7312
US1ILCK0154,WORTH 0.1 E,41.6874,-87.7911
US1ILCK0156,ARLINGTON HEIGHTS 0.6 N,42.1031,-87.9814
US1ILCK0158,MERRIONETTE PARK 1.2 NNW,41.6961,-87.7087
US1ILCK0163,ARLINGTON HEIGHTS 1.2 SW,42.0819,-87.9971
US1ILCK0168,RAVENSWOOD MANOR 0.1 ESE,41.9642,-87.6974
US1ILCK0170,FLOSSMOOR 0.5 SW,41.5341,-87.6905
US1ILCK0171,OAK LAWN 1.7 SE,41.701,-87.7247
US1ILCK0172,ELK GROVE VILLAGE 0.6 NNE,42.0145,-87.988
US1ILCK0173,PALOS PARK 3.6 WNW,41.6768,-87.9114
US1ILCK0175,WINNETKA 1.2 S,42.0889,-87.74
US1ILCK0177,STREAMWOOD 0.6 W,42.0217,-88.1846
US1ILCK0178,ROLLING MEADOWS 0.9 ESE,42.0693,-88.01
US1ILCK0179,CHICAGO 4.8 NNW,41.9481,-87.6588
US1ILCK0180,PARK RIDGE 0.5 SSW,42.0044,-87.846
US1ILCK0182,TINLEY PARK 2.6 NW,41.5918,-87.8274
US1ILCK0187,NORTH RIVERSIDE 0.4 W,41.8482,-87.8332
US1ILCK0190,SCHAUMBURG 2.1 SW,42.0133,-88.1143
US1ILCK0192,PARK RIDGE 0.7 WNW,42.0168,-87.8557
US1ILCK0193,WINNETKA 0.8 ESE,42.1016,-87.729
US1ILCK0196,HARWOOD HEIGHTS 1.9 NNE,41.9904,-87.7872
US1ILCK0197,ORLAND HILLS 0.6 SE,41.5865,-87.8335
US1ILCK0199,SCHAUMBURG 1.6 S,42.0104,-88.0828
US1ILCK0202,RIVER FOREST 0.9 SSE,41.8819,-87.815
US1ILCK0204,BOOT CAMP-CHICAGO 4.2 SW,41.8421,-87.6891
US1ILCK0206,PARK FOREST 1.0 SW,41.4723,-87.7013
US1ILCK0208,GLENVIEW 1.2 WNW,42.0888,-87.8358
US1ILCK0211,OAK LAWN 1.6 WNW,41.7269,-87.7777
US1ILCK0214,ROGERS PARK 1.5 SW,41.9957,-87.6918
US1ILCK0215,GLENVIEW 0.9 SW,42.0726,-87.8288
US1ILCK0218,NORTHBROOK 1.0 W,42.1311,-87.8531
US1ILCK0220,ARLINGTON HEIGHTS 0.5 SE,42.0903,-87.9752
US1ILCK0229,FLOSSMOOR 1.2 ESE,41.5319,-87.6641
US1ILCK0232,ROGERS PARK 0.6 ESE,42.0043,-87.6697
US1ILCK0234,OAK LAWN 1.6 NW,41.7284,-87.7762
US1ILCK0238,ELMWOOD PARK 0.7 NNW,41.9314,-87.8231
US1ILCK0240,CHICAGO 2.7 WNW,41.9018,-87.6726
US1ILCK0243,ELMWOOD PARK 0.7 ESE,41.9177,-87.8037
US1ILCK0245,ARLINGTON HEIGHTS 2.6 SSW,42.0578,-87.9926
US1ILCK0246,LEMONT 0.4 S,41.6641,-87.9913
US1ILCK0249,MIDLOTHIAN 0.2 SSE,41.6243,-87.7233
US1ILCK0250,MIDLOTHIAN 0.2 NNE,41.6294,-87.7231
US1ILCK0253,MIDLOTHIAN 0.1 SSE,41.625,-87.7234
US1ILCK0254,BURR RIDGE 1.2 ESE,41.7473,-87.8974
US1ILCK0260,MIDLOTHIAN 1.2 SE,41.613,-87.7097
US1ILCK0261,MIDLOTHIAN 0.3 WSW,41.6248,-87.7307
US1ILCK0262,MIDLOTHIAN 0.6 SW,41.6215,-87.7331
US1ILCK0266,MIDLOTHIAN 0.2 SW,41.6238,-87.727
US1ILCK0278,HOFFMAN ESTATES 1.6 SE,42.0481,-88.1162
US1ILCK0282,BERWYN 0.9 NW,41.8531,-87.802
US1ILCK0285,HARWOOD HEIGHTS 0.4 NNE,41.9715,-87.8033
US1ILCK0286,BROOKFIELD 0.2 ENE,41.8251,-87.8443
US1ILCK0288,ROSELLE 0.8 N,41.9926,-88.0842
US1ILCK0294,PALATINE 1.4 NNE,42.1299,-88.028
US1ILCK0296,CHICAGO HEIGHTS 2.4 NNW,41.5428,-87.6541
US1ILCK0298,CICERO 0.4 W,41.8443,-87.7671
US1ILCK0300,RIVERSIDE 0.2 WNW,41.832,-87.8197
US1ILCK0306,OAK FOREST 0.6 N,41.6155,-87.7507
US1ILCK0316,OAK LAWN 0.8 WSW,41.7107,-87.7663
US1ILCK0317,HOFFMAN ESTATES 0.6 ESE,42.06,-88.1293
US1ILCK0320,PARK FOREST 0.7 WNW,41.4858,-87.6996
US1ILCK0321,EVANSTON 0.9 S,42.033,-87.6978
US1ILCK0322,ARLINGTON HEIGHTS 0.8 NNW,42.1048,-87.99
US1ILCK0323,CHICAGO 6.8 NW,41.9625,-87.7042
US1ILCK0325,MOUNT PROSPECT 1.3 SSE,42.0501,-87.9239
US1ILCK0326,MORTON GROVE 1.2 WNW,42.0511,-87.8097
US1ILCK0331,NORTHFIELD 0.3 S,42.0957,-87.7789
US1ILCK0332,ARLINGTON HEIGHTS 1.7 SSW,42.0724,-87.9956
US1ILCK0334,EVANSTON 0.6 S,42.0378,-87.6941
US1ILCK0336,EVANSTON 0.8 ESE,42.0431,-87.6792
US1ILCK0339,CHICAGO 6.3 NW,41.9555,-87.701
US1ILCK0342,MERRIONETTE PARK 1.7 NE,41.6958,-87.6739
US1ILCK0345,FRANKLIN PARK 0.5 SSE,41.9295,-87.874
US1ILCK0346,PALATINE 1.2 NW,42.1262,-88.0578
US1ILCK0347,STREAMWOOD 1.1 WSW,42.0129,-88.1923
US1ILCK0350,DES PLAINES 1.8 NNW,42.0589,-87.9113
US1ILCK0351,SCHAUMBURG 1.4 SE,42.0187,-88.0629
US1ILCK0355,LA GRANGE 0.3 ENE,41.8097,-87.8671
US1ILCK0358,BURR RIDGE 1.0 ENE,41.7585,-87.904
US1ILCK0359,CHICAGO 5.5 NNW,41.9502,-87.6815
US1ILCK0364,EVERGREEN PARK 0.4 WNW,41.7233,-87.7083
US1ILCK0366,OAK PARK 1.0 NNE,41.9017,-87.7822
US1ILCK0367,MOUNT PROSPECT 0.2 NNE,42.0675,-87.9358
US1ILCK0368,SCHAUMBURG 2.9 WSW,42.0226,-88.1376
US1ILCK0371,EVANSTON 1.2 S,42.0291,-87.6926
US1ILCK0374,GLENVIEW 1.3 WNW,42.0874,-87.8373
US1ILCK0382,NILES 0.7 NE,42.0332,-87.799
US1ILCK0384,CHICAGO 3.6 NNW,41.9302,-87.6566
US1ILCK0390,ALSIP 0.9 E,41.6726,-87.7181
US1ILCK0391,PALATINE 1.8 NNW,42.1353,-88.0591
US1ILCK0393,TINLEY PARK 1.2 WNW,41.5824,-87.8219
US1ILCK0394,BURR RIDGE 0.5 SE,41.7451,-87.9147
US1ILCK0405,PALATINE 2.6 WNW,42.1319,-88.0857
US1ILCK0406,PALATINE 1.5 NE,42.1301,-88.0267
US1ILCK0407,MATTESON 0.9 E,41.5106,-87.7203
US1ILCK0412,OAK PARK 1.1 N,41.9032,-87.7873
US1ILCK0414,HOFFMAN ESTATES 2.5 NNE,42.0986,-88.1231
