complaint_type,COMPLAINT_COUNT
Animal in a Park,18790
Traffic,42327
Curb Condition,47313
Illegal Parking,1091061
Street Light Condition,863387
Unleashed Dog,7170
ELEVATOR,7923
Borough Office,7943
Derelict Vehicle,193327
Noise Survey,16303
Plumbing,49458
FLOORING/STAIRS,151382
Smoking,20630
Animal-Abuse,11111
Broken Parking Meter,48735
WATER LEAK,214417
Street Sign - Damaged,72345
Noise - Street/Sidewalk,661789
Noise - Park,40540
Sidewalk Condition,263059
Disorderly Youth,3558
Electrical,33728
Elevator,112535
Indoor Sewage,11256
Dead Tree,46929
Sweeping/Missed-Inadequate,4683
DOF Parking - Request Status,9032
Drug Activity,11466
Dirty Conditions,345239
Building/Use,257183
Housing - Low Income Senior,47637
DPR Internal,9294
Housing Options,15347
DRIE,4023
DOF Property - Owner Issue,52395
DOF Property - Request Copy,53033
DCA / DOH New License Application Request,20349
Other Enforcement,64000
Electronics Waste,26491
Illegal Fireworks,52085
HEATING,673651
PAINT/PLASTER,378476
Bridge Condition,4657
ELECTRIC,284997
Bus Stop Shelter Complaint,12368
Vending,42217
PAINT - PLASTER,268042
Non-Emergency Police Matter,148541
COVID-19 Non-essential Construction,6643
HPD Literature Request,45111
Building Marshals office,7109
SAFETY,57202
Public Payphone Complaint,5276
Mosquitoes,3230
Construction Safety Enforcement,31234
Sustainability Enforcement,6414
Construction,28311
DOF Property - Payment Issue,48217
Unsanitary Animal Pvt Property,21375
For Hire Vehicle Complaint,67172
GENERAL,168522
OEM Literature Request,7320
Bike/Roller/Skate Chronic,4894
Unsanitary Pigeon Condition,6316
HEAT/HOT WATER,1401369
Damaged Tree,324342
Derelict Vehicles,232148
Derelict Bicycle,14893
Missed Collection (All Materials),286927
NonCompliance with Phased Reopening,51981
Dead/Dying Tree,52032
Special Projects Inspection Team (SPIT),39138
Animal Abuse,52178
DHS Advantage - Tenant,18382
DOF Property - Reduction Issue,103308
Noise - House of Worship,9214
Ferry Inquiry,4914
Noise - Helicopter,22340
Lost Property,10637
Highway Condition,40730
PLUMBING,635068
Blocked Driveway,987818
NONCONST,191231
Mobile Food Vendor,4976
Drinking,15779
School Maintenance,16900
Noise - Residential,2101533
Noise - Commercial,372356
Noise - Vehicle,284865
Taxi Report,12637
New Tree Request,159125
Miscellaneous Categories,15364
Noise,494778
Overflowing Litter Baskets,13274
DOOR/WINDOW,228613
Lead,56977
Standing Water,22665
Found Property,3172
Benefit Card Replacement,113957
Request Large Bulky Item Collection,723714
General Construction/Plumbing,480596
Water Conservation,39544
DOF Property - Update Account,21605
Literature Request,253226
Panhandling,5911
Asbestos,19607
Homeless Person Assistance,145426
Traffic Signal Condition,412793
Food Establishment,87957
Street Sign - Dangling,26060
Consumer Complaint,186328
Sanitation Condition,328117
Maintenance or Facility,124164
Illegal Tree Damage,26687
Water System,628363
Litter Basket / Request,27143
Vacant Lot,21585
Industrial Waste,13385
BEST/Site Safety,17847
Non-Residential Heat,11368
Water Quality,14419
Broken Muni Meter,158527
DOF Parking - Request Copy,7673
Electronics Waste Appointment,66018
Outdoor Dining,4100
Snow,69871
DOF Parking - Tax Exemption,6953
Urinating in Public,5408
Home Delivered Meal - Missed Delivery,3390
Homeless Street Condition,14205
Street Condition,914212
Food Poisoning,29072
Violation of Park Rules,25442
Overgrown Tree/Branches,147406
Day Care,3510
Taxi Complaint,149513
Sweeping/Missed,8124
Abandoned Vehicle,57979
Emergency Response Team (ERT),42449
Air Quality,74131
DOF Parking - Payment Issue,58962
Taxi Compliment,5026
Investigations and Discipline (IAD),8678
Root/Sewer/Sidewalk Condition,89471
Mold,3440
Recycling Enforcement,7778
Homeless Encampment,36421
GENERAL CONSTRUCTION,373703
CONSTRUCTION,3766
Street Sign - Missing,50530
UNSANITARY CONDITION,510886
OUTSIDE BUILDING,7633
Indoor Air Quality,43641
Rodent,277281
Sewer,342749
APPLIANCE,110924
Hazardous Materials,27510
Boilers,18040
DHS Advantage -Landlord/Broker,16058
Graffiti,158127
SCRIE,77659
Elder Abuse,4962
Unsanitary Condition,5500
