SPECIES,COUNT_1995,ALIVE_1995,DEAD_1995,COUNT_2015,ALIVE_2015,DEAD_2015,POPULATION_GROWTH
Gleditsia triacanthos var. inermis,0,0,0,64264,63073,1190,64264
Pyrus calleryana,0,0,0,58931,56842,2089,58931
Quercus palustris,0,0,0,53185,51950,1235,53185
Acer platanoides,0,0,0,34189,30410,3779,34189
,0,0,0,31619,4,1,31619
Tilia cordata,0,0,0,29742,28022,1720,29742
Prunus,0,0,0,29279,27974,1305,29279
Zelkova serrata,0,0,0,29258,28476,782,29258
Ginkgo biloba,0,0,0,21024,19906,1118,21024
Styphnolobium japonicum,0,0,0,19338,18722,616,19338
