FILING_YEAR,assignee,APPLICATION_COUNT
0,[],79
2021,[],22
1974,[],15
2018,"[
  ""Koninklijke Philips N.V.""
]",15
1973,[],14
2020,[],13
1969,[],12
1975,[],12
1966,[],11
2017,[],10
1976,[],9
2002,"[
  ""Genentech, Inc.""
]",9
2006,"[
  ""Novartis Ag""
]",9
2019,"[
  ""Koninklijke Philips N.V.""
]",8
2007,"[
  ""Novartis Ag""
]",7
2008,"[
  ""Novartis Ag""
]",7
2011,"[
  ""Novartis Ag""
]",7
2013,"[
  ""皇家飞利浦有限公司""
]",7
2015,"[
  ""Koninklijke Philips N.V.""
]",7
1997,"[
  ""Procter & Gamble""
]",7
2001,"[
  ""Astrazeneca Ab""
]",7
1964,[],7
2003,"[
  ""Hoffmann La Roche""
]",7
2022,[],7
2016,"[
  ""Covidien Lp""
]",7
2010,"[
  ""皇家飞利浦电子股份有限公司""
]",6
1999,"[
  ""Procter & Gamble""
]",6
1972,[],6
1977,[],6
2023,"[
  ""Edwards Lifesciences Corporation""
]",6
1995,"[
  ""Oreal""
]",5
1965,[],5
1982,"[
  ""Pfizer""
]",5
1990,"[
  ""Pfizer""
]",5
2014,"[
  ""コーニンクレッカ フィリップス エヌ ヴェＫｏｎｉｎｋｌｉｊｋｅ Ｐｈｉｌｉｐｓ Ｎ．Ｖ．"",
  ""コーニンクレッカ  フィリップス  エヌ  ヴェ""
]",5
2004,"[
  ""Hoffmann La Roche""
]",5
2009,"[
  ""Medtronic, Inc.""
]",4
1994,"[
  ""United States Surgical Corporation""
]",4
1998,"[
  ""Procter & Gamble""
]",4
2000,"[
  ""Astrazeneca Ab""
]",4
1971,[],4
1987,"[
  ""Warner-Lambert Company""
]",4
1993,"[
  ""Rhone Poulenc Rorer Sa""
]",4
2012,"[
  ""Boehringer Ingelheim Int""
]",4
2005,"[
  ""L'oreal""
]",4
1996,"[
  ""Pfizer""
]",4
1981,"[
  ""Lilly Co Eli""
]",4
1983,"[
  ""Bayer Ag""
]",4
1992,"[
  ""Hoechst Ag""
]",4
1968,[],3
1978,"[
  ""Lilly Co Eli""
]",3
1979,"[
  ""Hoffmann La Roche""
]",3
1980,[],3
1984,"[
  ""Schering Ag""
]",3
1985,"[
  ""Personal Products Co""
]",3
1986,"[
  ""Erba Farmitalia""
]",3
1988,"[
  ""Oreal""
]",3
1989,"[
  ""Pfizer""
]",3
1991,"[
  ""Warner-Lambert Company""
]",3
1963,[],2
1967,[],2
1970,[],2
2024,"[
  ""Janssen Pharmaceutica Nv""
]",2
1903,"[
  ""Carl Fuhrhans""
]",1
1916,"[
  ""White S Dental Mfg Co""
]",1
1931,"[
  ""Radium Akt Ges Deutsche""
]",1
1937,"[
  ""Jr Hugo P Geisler""
]",1
1947,"[
  ""Ortho Pharma Corp""
]",1
1953,"[
  ""Rhodia""
]",1
1955,"[
  ""Merck & Co Inc""
]",1
1957,"[
  ""Schoneberg Ernest""
]",1
1961,"[
  ""C F Ploucquet Fa""
]",1
1930,"[
  ""Berger Hans""
]",1
1960,"[
  ""William M Dr Scholl""
]",1
1958,"[
  ""American Cyanamid Co""
]",1
1956,"[
  ""Jean D Albret S A R L Soc""
]",1
1950,"[
  ""Wilfred E Lipman""
]",1
1948,"[
  ""Gambill Mfgrs Inc""
]",1
1945,"[
  ""Parke Davis & Co""
]",1
1943,"[
  ""Edward Spierer""
]",1
1936,"[
  ""Ernest Charles Mcnally""
]",1
1934,"[
  ""Ject In Ltd""
]",1
1933,"[
  ""Kirchhoff Dedo""
]",1
1932,"[
  ""Mueller Hans""
]",1
1907,"[
  ""Harlow R Cool""
]",1
1929,"[
  ""Bohme H Th Ag""
]",1
1928,"[
  ""Robinson Joseph""
]",1
1927,"[
  ""Boechat Dr Jean""
]",1
1926,"[
  ""Ingvald G Bergh"",
  ""Nelsen Lawrence""
]",1
1923,"[
  ""Johannes Baumann""
]",1
1922,"[
  ""Gilbert L Hagen""
]",1
1921,"[
  ""Roy R Rider""
]",1
1913,"[
  ""James F Rowley""
]",1
1910,"[
  ""Werner Dr Med Schultz""
]",1
1908,"[
  ""Robert P Baird""
]",1
1899,"[
  ""Carrie Trabaud""
]",1
1900,"[
  ""James Lambert""
]",1
1905,"[
  ""Bong & Cie Soc""
]",1
1906,"[
  ""James B Righter""
]",1
1914,"[
  ""William H King""
]",1
1915,"[
  ""Rudd Hardesty""
]",1
1924,"[
  ""Carl Grohmann""
]",1
1935,"[
  ""Monnier Vital""
]",1
1938,"[
  ""Picker X Ray Corp Waite Mfg""
]",1
1944,"[
  ""Phil Frans Donatus Timmermans""
]",1
1951,"[
  ""Rubinstein Inc H""
]",1
1954,[],1
1909,"[
  ""Siemens Ag""
]",1
1911,"[
  ""Kate Van Hook""
]",1
1917,"[
  ""Francis Weldon""
]",1
1920,"[
  ""Thomas J Newlyn""
]",1
1939,"[
  ""Kotzin""
]",1
1940,"[
  ""Donald M Stevenson"",
  ""Carrie S Logan"",
  ""Carolyn S Rathjen"",
  ""Warren A Stevenson""
]",1
1941,[],1
1942,"[
  ""Manly S Harris""
]",1
1946,"[
  ""Antonina S Glass""
]",1
1949,"[
  ""Anton Dr Mayer""
]",1
1952,"[
  ""American Cyanamid Co""
]",1
1959,"[
  ""Ritter Co Inc""
]",1
1962,[],1
