TRIP_MONTH,MIN_DURATION_MINUTES,MAX_DURATION_MINUTES,FIRST_DURATION_MINUTES,LAST_DURATION_MINUTES
1,1.000000,11922.316667,2.900000,3.300000
2,1.000000,30876.500000,3.633333,9.566667
3,1.000000,18892.333333,23.200000,11.366667
4,1.000000,10746.183333,12.733333,
5,1.000000,10038.966667,18.633333,8.516667
6,1.000000,8630.933333,17.783333,26.100000
7,1.000000,4670.466667,7.733333,5.966667
8,1.000000,12037.266667,17.333333,3.683333
9,1.000000,9346.533333,2.966667,6.300000
10,1.000000,35616.666667,63.816667,5.750000
11,1.000000,287840.000000,20.216667,16.800000
12,1.000000,11941.333333,11.466667,4.333333
