titleFull,symbol,best_year,EMA
AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING,A01,2007,2.8125863793329056
BAKING; EDIBLE DOUGHS,A21,1995,1.0
BUTCHERING; MEAT TREATMENT; PROCESSING POULTRY OR FISH,A22,1931,1.0
"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES",A23,1995,1.6021490236872218
TOBACCO; CIGARS; CIGARETTES; SIMULATED SMOKING DEVICES; SMOKERS' REQUISITES,A24,2000,1.2441942809699396
WEARING APPAREL,A41,1930,1.0
HEADWEAR,A42,1922,1.0
FOOTWEAR,A43,1995,1.1755825156265367
HABERDASHERY; JEWELLERY,A44,2002,1.3690036900369005
HAND OR TRAVELLING ARTICLES,A45,2004,1.191679903761354
BRUSHWARE,A46,1927,1.0
FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL,A47,1900,2.0
MEDICAL OR VETERINARY SCIENCE; HYGIENE,A61,2008,12.091524155295229
LIFE-SAVING; FIRE-FIGHTING,A62,2008,1.153533993278763
SPORTS; GAMES; AMUSEMENTS,A63,1982,1.2703485784721258
PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL,B01,2007,3.9358033030231936
"CRUSHING, PULVERISING, OR DISINTEGRATING; PREPARATORY TREATMENT OF GRAIN FOR MILLING",B02,1934,1.0
SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS,B03,1938,1.0
CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES,B04,2006,1.2907822041291073
"SPRAYING OR ATOMISING IN GENERAL; APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL",B05,2003,1.7858864641826728
GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL,B06,1925,1.0
SEPARATING SOLIDS FROM SOLIDS; SORTING,B07,2014,1.3035821695182819
CLEANING,B08,1983,1.5263157894736843
DISPOSAL OF SOLID WASTE; RECLAMATION OF CONTAMINATED SOIL,B09,1993,1.0
MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL,B21,2008,3.324451437715816
CASTING; POWDER METALLURGY,B22,2008,3.28883340371708
MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR,B23,2009,4.115220612308407
GRINDING; POLISHING,B24,2008,1.8494842093435429
HAND TOOLS; PORTABLE POWER-DRIVEN TOOLS; MANIPULATORS,B25,2009,1.8875352032857873
HAND CUTTING TOOLS; CUTTING; SEVERING,B26,2003,1.4916310437543026
WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES IN GENERAL,B27,2007,2.2907057539802507
"WORKING CEMENT, CLAY, OR STONE",B28,1952,1.0
WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL,B29,2007,4.0650849853974735
PRESSES,B30,2022,1.2404409448237932
"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER; WORKING PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER",B31,2009,1.4017656229321647
LAYERED PRODUCTS,B32,2005,1.3823748749208262
ADDITIVE MANUFACTURING TECHNOLOGY,B33,2009,1.3436856436256952
PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS,B41,2006,2.690032333892975
BOOKBINDING; ALBUMS; FILES; SPECIAL PRINTED MATTER,B42,1994,1.4268405899790635
WRITING OR DRAWING IMPLEMENTS; BUREAU ACCESSORIES,B43,1923,1.0
DECORATIVE ARTS,B44,1933,1.0
VEHICLES IN GENERAL,B60,2023,10.074550793816192
RAILWAYS,B61,2014,1.347205334554748
LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS,B62,2022,2.492874235879659
SHIPS OR OTHER WATERBORNE VESSELS; RELATED EQUIPMENT,B63,1900,2.0
AIRCRAFT; AVIATION; COSMONAUTICS,B64,2005,1.3641918171465723
CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL,B65,2007,4.366115635771343
HOISTING; LIFTING; HAULING,B66,2003,1.620349065463202
"OPENING, CLOSING OR CLEANING BOTTLES, JARS OR SIMILAR CONTAINERS; LIQUID HANDLING",B67,2021,1.2132557504853323
MICROSTRUCTURAL TECHNOLOGY,B81,2006,1.0
NANOTECHNOLOGY,B82,1996,2.0
SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,B99,2024,1.0
INORGANIC CHEMISTRY,C01,2009,1.4561255626272098
"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE",C02,2011,1.3122295751991575
GLASS; MINERAL OR SLAG WOOL,C03,2006,1.493066888819332
CEMENTS; CONCRETE; ARTIFICIAL STONE; CERAMICS; REFRACTORIES,C04,2008,1.7376213031295187
FERTILISERS; MANUFACTURE THEREOF,C05,2003,1.2134202949895316
EXPLOSIVES; MATCHES,C06,1984,1.0
ORGANIC CHEMISTRY,C07,2006,6.303675472111713
ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON,C08,2006,4.5595570995617605
DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR,C09,1998,2.681593271144703
"PETROLEUM, GAS OR COKE INDUSTRIES; TECHNICAL GASES CONTAINING CARBON MONOXIDE; FUELS; LUBRICANTS; PEAT",C10,1997,1.4005133380173715
"ANIMAL OR VEGETABLE OILS, FATS, FATTY SUBSTANCES OR WAXES; FATTY ACIDS THEREFROM; DETERGENTS; CANDLES",C11,2006,2.727145896585454
BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING,C12,2006,2.47973973130007
SUGAR INDUSTRY,C13,2022,1.2241867338038666
SKINS; HIDES; PELTS; LEATHER,C14,2004,1.6196306976460473
METALLURGY OF IRON,C21,2013,1.3499589753153596
METALLURGY; FERROUS OR NON-FERROUS ALLOYS; TREATMENT OF ALLOYS OR NON-FERROUS METALS,C22,2009,2.384799745905652
"COATING METALLIC MATERIAL; COATING MATERIAL WITH METALLIC MATERIAL; CHEMICAL SURFACE TREATMENT; DIFFUSION TREATMENT OF METALLIC MATERIAL; COATING BY VACUUM EVAPORATION, BY SPUTTERING, BY ION IMPLANTATION OR BY CHEMICAL VAPOUR DEPOSITION, IN GENERAL; INHIBITING CORROSION OF METALLIC MATERIAL OR INCRUSTATION IN GENERAL",C23,2009,2.3013741611452296
ELECTROLYTIC OR ELECTROPHORETIC PROCESSES; APPARATUS THEREFOR,C25,2005,1.6152858690723946
CRYSTAL GROWTH,C30,1955,1.0
COMBINATORIAL TECHNOLOGY,C40,2006,1.0
SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,C99,1974,1.0
NATURAL OR MAN-MADE THREADS OR FIBRES; SPINNING,D01,1994,1.4160771217854478
YARNS; MECHANICAL FINISHING OF YARNS OR ROPES; WARPING OR BEAMING,D02,1992,1.0
WEAVING,D03,1925,1.0
BRAIDING; LACE-MAKING; KNITTING; TRIMMINGS; NON-WOVEN FABRICS,D04,2002,1.4734079328356773
SEWING; EMBROIDERING; TUFTING,D05,1929,1.0
TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR,D06,2020,1.7313551416608377
ROPES; CABLES OTHER THAN ELECTRIC,D07,1923,1.0
"INDEXING SCHEME ASSOCIATED WITH SUBLASSES OF SECTION D, RELATING TO TEXTILES",D10,2002,1.7011070110701108
PAPER-MAKING; PRODUCTION OF CELLULOSE,D21,2008,2.1932024708356086
SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,D99,1995,1.0
"CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES",E01,1952,1.3690036900369005
HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL SHIFTING,E02,2019,1.1774180146753488
WATER SUPPLY; SEWERAGE,E03,1922,1.0
BUILDING,E04,2007,2.107577903736993
LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES,E05,2007,1.9459261270587922
"DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS IN GENERAL; LADDERS",E06,2014,1.2750058625325416
EARTH OR ROCK DRILLING; MINING,E21,2012,1.2169009814681035
MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES,F01,2022,2.3865559576681807
COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS,F02,2021,3.7416919840860596
"MACHINES OR ENGINES FOR LIQUIDS; WIND, SPRING, OR WEIGHT MOTORS; PRODUCING MECHANICAL POWER OR A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR",F03,1942,1.0
POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS,F04,2007,1.7131965887590848
INDEXING SCHEMES RELATING TO ENGINES OR PUMPS IN VARIOUS SUBCLASSES OF CLASSES F01-F04,F05,2022,1.3790892464432347
